6400
1.125	1.125	-0.196701	1
1.375	1.125	0.465396	1
1.625	1.125	0.875156	1
1.875	1.125	0.814888	1
2.125	1.125	0.317203	1
2.375	1.125	-0.350909	1
2.625	1.125	-0.830987	1
2.875	1.125	-0.86537	1
3.125	1.125	-0.435484	1
3.375	1.125	0.228125	1
3.625	1.125	0.769448	1
3.875	1.125	0.898023	1
4.125	1.125	0.544813	1
4.375	1.125	-0.100719	1
4.625	1.125	-0.692236	1
4.875	1.125	-0.912352	1
5.125	1.125	-0.642939	1
5.375	1.125	-0.0285313	1
5.625	1.125	0.601209	1
5.875	1.125	0.908377	1
6.125	1.125	0.728139	1
6.375	1.125	0.157191	1
6.625	1.125	-0.498116	1
6.875	1.125	-0.886152	1
7.125	1.125	-0.798695	1
7.375	1.125	-0.282662	1
7.625	1.125	0.385055	1
7.875	1.125	0.846162	1
8.125	1.125	0.853227	1
8.375	1.125	0.402452	1
8.625	1.125	-0.264285	1
8.875	1.125	-0.789213	1
9.125	1.125	-0.890653	1
9.375	1.125	-0.514166	1
9.625	1.125	0.138229	1
9.875	1.125	0.716455	1
10.125	1.125	0.910231	1
10.375	1.125	0.615573	1
10.625	1.125	-0.00940924	1
10.875	1.125	-0.629346	1
11.125	1.125	-0.911574	1
11.375	1.125	-0.704645	1
11.625	1.125	-0.119594	1
11.875	1.125	0.529635	1
12.125	1.125	0.89466	1
12.375	1.125	0.779601	1
12.625	1.125	0.246199	1
12.875	1.125	-0.41932	1
13.125	1.125	-0.859829	1
13.375	1.125	-0.838945	1
13.625	1.125	-0.367871	1
13.875	1.125	0.300609	1
14.125	1.125	0.80778	1
14.375	1.125	0.881487	1
14.625	1.125	0.482174	1
14.875	1.125	-0.175882	1
15.125	1.125	-0.73956	1
15.375	1.125	-0.906382	1
15.625	1.125	-0.586827	1
15.875	1.125	0.047627	1
16.125	1.125	0.656523	1
16.375	1.125	0.913115	1
16.625	1.125	0.67971	1
16.875	1.125	0.0815527	1
17.125	1.125	-0.56038	1
17.375	1.125	-0.901619	1
17.625	1.125	-0.759056	1
17.875	1.125	-0.209199	1
18.125	1.125	0.45288	1
